train_loss,valid_loss,mse,mae,epoch
6.506545066833496,6.762843608856201,6.762843608856201,1.409636378288269,0
5.410655498504639,5.9152750968933105,5.9152750968933105,1.301008939743042,1
5.237825393676758,5.577774524688721,5.577774524688721,1.247821569442749,2
4.850651264190674,5.4455718994140625,5.4455718994140625,1.225586175918579,3
4.675148010253906,5.238150119781494,5.238150119781494,1.2052618265151978,4
4.485815048217773,5.287856101989746,5.287856101989746,1.2135121822357178,5
4.518471717834473,5.235410213470459,5.235410213470459,1.2097978591918945,6
4.523441791534424,5.207667827606201,5.207667827606201,1.199344515800476,7
4.4856133460998535,5.148780822753906,5.148780822753906,1.189520239830017,8
4.315135478973389,5.242793083190918,5.242793083190918,1.1981555223464966,9
4.387251377105713,5.163975238800049,5.163975238800049,1.2007296085357666,10
4.4929280281066895,5.101241111755371,5.101241111755371,1.1827125549316406,11
4.40996789932251,5.113941192626953,5.113941192626953,1.1826575994491577,12
4.380314826965332,5.056847095489502,5.056847095489502,1.1749706268310547,13
4.491610050201416,5.068247318267822,5.068247318267822,1.1772171258926392,14
4.3150715827941895,5.073843479156494,5.073843479156494,1.1796038150787354,15
4.242434024810791,5.07426643371582,5.07426643371582,1.1740471124649048,16
4.297857761383057,5.05381441116333,5.05381441116333,1.1745318174362183,17
4.293295860290527,5.064827919006348,5.064827919006348,1.1751338243484497,18
4.236806869506836,5.061736583709717,5.061736583709717,1.1750519275665283,19
