date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2018-03-21 21:00:00,8.747146,1.6581455,5.77074,0.5904628,2.638467,0.6446351,6.7328672
2018-03-21 22:00:00,9.391306,2.4715896,6.7045803,1.3566365,2.3647723,0.59130955,6.6036873
2018-03-21 23:00:00,11.163092,3.774271,8.556154,2.6479726,2.3954008,0.56521267,6.327875
2018-03-22 00:00:00,12.960482,4.717904,10.162931,3.4165142,2.6346192,0.59610295,5.9183846
2018-03-22 01:00:00,12.99486,4.626706,10.108821,3.277597,2.640208,0.59906745,5.7935076
2018-03-22 02:00:00,12.128733,4.3069773,9.283572,2.967548,2.6234117,0.6038892,5.8298893
2018-03-22 03:00:00,12.060303,4.264762,9.095277,2.8858652,2.8062887,0.6934304,5.730213
2018-03-22 04:00:00,12.276013,4.285891,9.12661,2.8271472,3.0250318,0.78448373,5.676999
2018-03-22 05:00:00,12.260458,4.2592397,8.883074,2.8441098,3.1821003,0.823323,5.7256193
2018-03-22 06:00:00,12.275133,4.5317125,8.569969,3.0830612,3.553177,0.879949,5.6997232
2018-03-22 07:00:00,11.800778,4.69827,7.8572445,3.164038,3.7367013,0.9475779,5.4833536
2018-03-22 08:00:00,8.032889,4.1193075,4.2977734,2.70593,3.4258425,0.9756521,5.441332
2018-03-22 09:00:00,3.3156886,3.3773208,-0.16874123,2.0451405,3.1685314,1.0005574,5.7952976
2018-03-22 10:00:00,0.97791195,3.0702682,-2.5043497,1.729639,3.2702456,1.0457909,6.0889597
2018-03-22 11:00:00,0.2957325,2.8698606,-3.0945678,1.4932489,3.2065687,1.0092522,6.2172832
2018-03-22 12:00:00,-1.593411,2.6691315,-4.593772,1.3125104,2.8441145,0.93335354,6.354538
2018-03-22 13:00:00,-2.9293265,2.810638,-5.7490597,1.5074915,2.803823,0.96465683,6.438278
2018-03-22 14:00:00,-1.7175641,2.771078,-4.5151215,1.513571,2.820733,0.99623513,6.451524
2018-03-22 15:00:00,-0.19030333,2.4023054,-2.8341527,1.1757569,2.7090058,0.92814785,6.4642706
2018-03-22 16:00:00,1.6665015,2.0985591,-0.92718315,0.9695732,2.8057592,0.8408873,6.376252
2018-03-22 17:00:00,4.60576,1.9680241,1.7776873,0.8635361,3.119468,0.7876926,6.182602
2018-03-22 18:00:00,6.699811,1.6580373,3.8371916,0.579268,3.1428041,0.7103419,5.877249
2018-03-22 19:00:00,7.125837,1.3821145,4.4244075,0.38505337,3.0084221,0.6688956,5.870858
2018-03-22 20:00:00,7.7340655,1.3794336,5.087883,0.38978803,2.931848,0.6823498,5.9368105
