train_loss,valid_loss,mse,mae,epoch
5.490605354309082,5.920738220214844,5.920738220214844,1.287068486213684,0
5.163356781005859,6.0161824226379395,6.0161824226379395,1.2977526187896729,1
4.98705530166626,5.656562805175781,5.656562805175781,1.2664471864700317,2
4.727124214172363,5.511599540710449,5.511599540710449,1.2287545204162598,3
4.867557048797607,5.386355400085449,5.386355400085449,1.2213270664215088,4
4.830968379974365,5.435649871826172,5.435649871826172,1.2328877449035645,5
4.6817851066589355,5.404008865356445,5.404008865356445,1.2195396423339844,6
4.8030619621276855,5.610586166381836,5.610586166381836,1.2341179847717285,7
4.758060932159424,5.297403812408447,5.297403812408447,1.2121577262878418,8
4.647339820861816,5.3303914070129395,5.3303914070129395,1.2062313556671143,9
4.426538944244385,5.61401891708374,5.61401891708374,1.2366037368774414,10
4.712191581726074,5.321905136108398,5.321905136108398,1.2059987783432007,11
4.6050238609313965,5.29876184463501,5.29876184463501,1.2064255475997925,12
4.630954265594482,5.32304048538208,5.32304048538208,1.2126401662826538,13
4.464478969573975,5.300933837890625,5.300933837890625,1.2037575244903564,14
4.397164821624756,5.368609428405762,5.368609428405762,1.208077073097229,15
4.26190185546875,5.3084821701049805,5.3084821701049805,1.2083909511566162,16
4.4584527015686035,5.3222784996032715,5.3222784996032715,1.2066036462783813,17
4.507321834564209,5.2869486808776855,5.2869486808776855,1.204200029373169,18
4.3827290534973145,5.303366661071777,5.303366661071777,1.204434871673584,19
