date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2018-03-23 17:00:00,1.2136879,1.8262013,-1.9726434,0.49708408,2.8347373,0.96050143,11.0455475
2018-03-23 18:00:00,3.8037179,1.5982606,0.49067593,0.36137274,2.9964647,0.8917429,10.7731
2018-03-23 19:00:00,5.109954,1.5596716,1.8015544,0.3777541,3.0561688,0.84698206,10.4541235
2018-03-23 20:00:00,6.1837835,1.8394581,2.8932297,0.576943,3.0969903,0.8667898,10.048193
2018-03-23 21:00:00,7.062112,2.3173172,3.9199376,0.952132,2.9755442,0.893752,9.637079
2018-03-23 22:00:00,8.145732,3.0687923,5.1610594,1.5692697,2.8768654,0.89987653,9.279838
2018-03-23 23:00:00,10.029062,4.0665293,6.8918247,2.4124103,3.0816069,0.9303222,8.949058
2018-03-24 00:00:00,11.4961405,4.624563,8.194342,2.9538898,3.261431,0.9669432,8.620159
2018-03-24 01:00:00,11.654075,4.663847,8.449026,3.0765193,3.1525288,0.9656524,8.363335
2018-03-24 02:00:00,11.050124,4.598068,7.933767,2.9966378,3.083724,0.96377856,8.235808
2018-03-24 03:00:00,10.837733,4.5492344,7.641119,2.8135126,3.1921592,0.99430966,8.072383
2018-03-24 04:00:00,11.235296,4.4823604,7.8826847,2.6540072,3.3610544,1.0297161,7.919257
2018-03-24 05:00:00,11.5666,4.522069,7.9935956,2.6504104,3.5361764,1.0259004,7.8146505
2018-03-24 06:00:00,11.065537,4.599888,7.1570106,2.7316942,3.7385166,1.038092,7.7603245
2018-03-24 07:00:00,8.214937,4.355286,4.212893,2.5690143,3.7568245,1.117305,7.7693777
2018-03-24 08:00:00,2.69733,3.9065878,-1.058115,2.2077694,3.496616,1.1794356,7.9636507
2018-03-24 09:00:00,-3.331118,3.6493664,-6.86858,1.8748691,3.262499,1.1824338,8.356248
2018-03-24 10:00:00,-7.354264,3.4824724,-10.758136,1.6240906,3.1501086,1.1653417,8.695321
2018-03-24 11:00:00,-9.943132,3.2945428,-13.131715,1.5361254,2.9078064,1.0813391,8.735454
2018-03-24 12:00:00,-11.413145,3.1419606,-14.246467,1.5373254,2.5568852,0.9763347,8.903661
2018-03-24 13:00:00,-10.704489,3.217456,-13.314956,1.6054602,2.4421747,0.9884048,9.223343
2018-03-24 14:00:00,-7.834082,3.0723243,-10.359804,1.519697,2.4247613,1.051983,9.416999
2018-03-24 15:00:00,-4.5806546,2.6184075,-7.126334,1.2069111,2.4793804,1.0445614,9.421528
2018-03-24 16:00:00,-0.46313238,2.3343172,-3.284574,0.95425224,2.7618892,0.99749315,9.370556
