date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2018-03-22 01:00:00,14.754602,5.2425075,11.713842,3.6304395,2.9122808,0.65065676,6.2522736
2018-03-22 02:00:00,14.090326,5.1297016,10.957928,3.5069566,2.9709132,0.6763353,6.3879204
2018-03-22 03:00:00,14.168989,5.061475,10.911322,3.4893694,3.1517222,0.7612394,6.259943
2018-03-22 04:00:00,14.234695,5.1331353,11.016079,3.4354894,3.36336,0.85964936,6.1886654
2018-03-22 05:00:00,13.5164585,5.0086355,10.099939,3.248765,3.5230238,0.91431326,6.1427126
2018-03-22 06:00:00,13.371966,4.949767,9.569193,3.1986077,3.733898,0.9544111,5.9776087
2018-03-22 07:00:00,13.881723,5.0292892,9.698097,3.2562718,3.8559299,1.0252932,5.8350973
2018-03-22 08:00:00,11.132869,4.476177,7.2785783,2.830435,3.5403628,1.0499604,5.866412
2018-03-22 09:00:00,6.855041,3.6473496,3.4561605,2.219419,3.2190256,1.0331084,6.212969
2018-03-22 10:00:00,4.894335,3.2780173,1.502408,1.9095402,3.3172665,1.0244467,6.7676477
2018-03-22 11:00:00,4.2360992,3.041159,0.90751886,1.5730304,3.314077,0.98800665,7.063985
2018-03-22 12:00:00,2.8756328,2.965952,-0.12840462,1.4680935,3.035793,0.9129797,7.297662
2018-03-22 13:00:00,1.8469324,3.2776093,-1.0650549,1.8222704,2.979556,0.91631204,7.59179
2018-03-22 14:00:00,3.0933137,3.1986842,0.032193184,1.7565122,2.9971309,0.9573717,7.5652323
2018-03-22 15:00:00,3.9709456,2.9462347,1.0688379,1.5446725,2.8837352,0.9066706,7.662718
2018-03-22 16:00:00,5.271182,2.7268298,2.4238424,1.4679599,2.8967092,0.80388564,7.809865
2018-03-22 17:00:00,8.419188,2.6136026,5.3521094,1.4545987,3.1724572,0.7469556,7.780301
2018-03-22 18:00:00,9.191165,2.0597274,6.4764576,1.0388105,3.1890302,0.7072595,7.43522
2018-03-22 19:00:00,7.7605424,1.6273613,5.3069153,0.6837966,3.0030856,0.6449448,7.5532045
2018-03-22 20:00:00,8.096661,1.7158206,5.639705,0.709624,2.8447447,0.65450245,7.7623463
2018-03-22 21:00:00,8.40597,1.9777374,5.9740896,0.79154634,2.583204,0.672093,7.6579933
2018-03-22 22:00:00,8.43113,2.737008,6.413685,1.411164,2.29353,0.62008893,7.5880594
2018-03-22 23:00:00,10.274803,3.852685,8.291788,2.4750235,2.259178,0.594927,7.5281696
2018-03-23 00:00:00,13.024848,4.6419487,10.619068,3.1541362,2.4995863,0.65337694,7.193368
