date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2018-03-23 17:00:00,1.9503183,1.8498766,-1.4412293,0.16765875,3.1825264,1.012507,12.000785
2018-03-23 18:00:00,6.6126685,1.2087829,2.7630956,-0.1768378,3.249586,0.95676154,11.739889
2018-03-23 19:00:00,7.4653463,0.99268174,3.5601273,-0.37377506,3.099839,0.9116258,11.397366
2018-03-23 20:00:00,7.9712396,1.3281039,4.1372547,-0.12905163,2.9702435,0.9553416,11.101744
2018-03-23 21:00:00,7.840497,1.6847891,4.186862,0.23397961,2.7343488,1.0066067,10.93252
2018-03-23 22:00:00,8.694778,2.5980265,5.270842,0.95447755,2.6196816,0.9944463,10.753624
2018-03-23 23:00:00,10.623186,3.9004922,7.212737,2.0884144,2.7735808,1.016204,10.594923
2018-03-24 00:00:00,12.157658,4.5074434,8.5736065,2.7777996,3.071733,1.0758924,10.301804
2018-03-24 01:00:00,11.458711,4.3730288,7.8994308,2.7781494,2.9825683,1.1039845,10.083221
2018-03-24 02:00:00,10.71361,4.2399664,7.230481,2.5708747,2.787381,1.1138482,9.877595
2018-03-24 03:00:00,9.790623,4.1859145,6.221409,2.3904445,2.833879,1.1455518,9.732691
2018-03-24 04:00:00,9.837208,4.1901298,6.01982,2.3025959,3.048599,1.1603727,9.598425
2018-03-24 05:00:00,11.810022,4.386715,7.620697,2.2949252,3.2017848,1.1509655,9.503962
2018-03-24 06:00:00,13.072254,4.7476835,8.268947,2.5082793,3.5370567,1.17216,9.497562
2018-03-24 07:00:00,9.521676,4.626676,4.513246,2.3568668,3.6855972,1.2401464,9.574531
2018-03-24 08:00:00,1.2564974,4.059657,-3.4393024,1.8889034,3.3572178,1.3126929,9.610973
2018-03-24 09:00:00,-7.20593,3.7409668,-11.477551,1.6344424,2.9311671,1.3126872,9.906654
2018-03-24 10:00:00,-13.365837,3.669069,-17.439137,1.5633192,2.8158493,1.2507435,10.234433
2018-03-24 11:00:00,-15.769796,3.6090703,-19.734161,1.5798922,2.690516,1.1651578,10.186081
2018-03-24 12:00:00,-17.400585,3.3680449,-21.209461,1.4726386,2.408143,1.0482149,10.2293
2018-03-24 13:00:00,-17.45085,3.3411608,-20.902359,1.4430208,2.2515316,0.9595024,10.591528
2018-03-24 14:00:00,-13.866049,3.0687199,-17.050415,1.3373401,2.322216,0.9975265,10.975078
2018-03-24 15:00:00,-6.995402,2.5281496,-10.211467,0.9421327,2.4371836,1.0093179,11.0687275
2018-03-24 16:00:00,-1.6631494,2.3274097,-5.1586103,0.6491496,2.791753,0.9874939,11.218441
